subject_name,chapter_number,question_text,marks,hint,easy_answer,keywords,question_type,difficulty,pyq_year,question_paper_id
Science & Technology Part II,5,What is renewable energy?,1,Energy from sources naturally replenished.,"Renewable energy comes from sources that are naturally replenished, such as sunlight and wind.",SSC Science;Towards Green Energy,Practice,Easy,,
Science & Technology Part II,5,Give two renewable energy sources.,1,Think of sunlight and wind.,Solar and wind energy are two renewable energy sources.,SSC Science;Towards Green Energy,Practice,Easy,,
Science & Technology Part II,5,What is solar energy?,1,Energy obtained from the Sun.,Solar energy is energy obtained from sunlight and solar radiation.,SSC Science;Towards Green Energy,Practice,Easy,,
Science & Technology Part II,5,What is a solar cell?,1,It converts sunlight into electrical energy.,A solar cell converts light energy directly into electrical energy by the photovoltaic effect.,SSC Science;Towards Green Energy,Practice,Easy,,
Science & Technology Part II,5,What is wind energy?,1,Energy obtained from moving air.,"Wind energy is the energy of moving air converted into useful power, commonly using turbines.",SSC Science;Towards Green Energy,Practice,Easy,,
Science & Technology Part II,5,What is a wind turbine?,1,It converts wind energy into mechanical or electrical energy.,A wind turbine uses moving air to rotate blades and generate mechanical or electrical energy.,SSC Science;Towards Green Energy,Practice,Easy,,
Science & Technology Part II,5,What is hydroelectric energy?,1,Electricity generated using moving or falling water.,Hydroelectric energy is electrical energy generated from the energy of flowing or falling water.,SSC Science;Towards Green Energy,Practice,Easy,,
Science & Technology Part II,5,What is biomass energy?,1,Energy obtained from organic matter.,Biomass energy is obtained from organic materials such as plant and animal matter.,SSC Science;Towards Green Energy,Practice,Easy,,
Science & Technology Part II,5,What is biogas?,1,A fuel-rich gas produced by anaerobic decomposition of organic waste.,Biogas is mainly methane-rich gas produced by anaerobic digestion of organic matter.,SSC Science;Towards Green Energy,Practice,Easy,,
Science & Technology Part II,5,What is geothermal energy?,1,Energy from Earth's internal heat.,Geothermal energy is heat energy obtained from the Earth's interior.,SSC Science;Towards Green Energy,Practice,Easy,,
Science & Technology Part II,5,What is green energy?,1,Energy with low environmental impact from sustainable sources.,Green energy is energy produced from renewable sources with relatively low environmental impact.,SSC Science;Towards Green Energy,Practice,Medium,,
Science & Technology Part II,5,Why are fossil fuels non-renewable?,1,They form extremely slowly.,Fossil fuels are non-renewable because their formation takes millions of years and cannot match present consumption.,SSC Science;Towards Green Energy,Practice,Medium,,
Science & Technology Part II,5,State one advantage of solar energy.,1,It is renewable and produces electricity without direct combustion.,Solar energy is renewable and electricity generation from sunlight does not require direct fuel combustion.,SSC Science;Towards Green Energy,Practice,Medium,,
Science & Technology Part II,5,State one limitation of solar energy.,1,It depends on sunlight and needs suitable storage or backup.,"Solar generation varies with sunlight, so storage or other sources may be needed for continuous supply.",SSC Science;Towards Green Energy,Practice,Medium,,
Science & Technology Part II,5,Why is energy conservation important?,1,It reduces resource use and pollution.,"Energy conservation reduces fuel consumption, costs, resource depletion and environmental impact.",SSC Science;Towards Green Energy,Practice,Medium,,
Science & Technology Part II,5,What is energy efficiency?,1,Getting more useful output from less energy input.,Energy efficiency means providing the same useful service with less energy input.,SSC Science;Towards Green Energy,Practice,Medium,,
Science & Technology Part II,5,What is a fuel cell?,1,It converts chemical energy directly into electrical energy.,A fuel cell converts chemical energy of a fuel and oxidant directly into electrical energy.,SSC Science;Towards Green Energy,Practice,Hard,,
Science & Technology Part II,5,Why is hydrogen considered a potential clean fuel?,1,Its use in a fuel cell can produce water as the main direct product.,"Hydrogen can produce electricity in a fuel cell with water as the main direct product, although production methods matter.",SSC Science;Towards Green Energy,Practice,Hard,,
Science & Technology Part II,5,Why should renewable sources be developed?,1,They reduce dependence on finite fuels.,Developing renewable sources can reduce dependence on finite fossil fuels and lower emissions.,SSC Science;Towards Green Energy,Practice,Hard,,
Science & Technology Part II,5,State one way a household can save electricity.,1,Use efficient appliances and switch off unused devices.,Using energy-efficient appliances and avoiding unnecessary use can reduce household electricity consumption.,SSC Science;Towards Green Energy,Practice,Hard,,
