subject_name,chapter_number,question_text,marks,hint,easy_answer,keywords,question_type,difficulty,pyq_year,question_paper_id
Science & Technology Part II,1,What is heredity?,1,It is the transmission of traits.,Heredity is the transmission of characteristics from parents to offspring.,SSC Science;Heredity and Evolution,Practice,Easy,,
Science & Technology Part II,1,What is variation?,1,Look for differences among individuals.,Variation is the difference in characteristics among individuals of a species.,SSC Science;Heredity and Evolution,Practice,Easy,,
Science & Technology Part II,1,What is a gene?,1,It is a unit of heredity.,A gene is a segment of DNA that carries information for a hereditary trait.,SSC Science;Heredity and Evolution,Practice,Easy,,
Science & Technology Part II,1,Where are genes located?,1,They occur on chromosomes.,Genes are located on chromosomes in cells.,SSC Science;Heredity and Evolution,Practice,Easy,,
Science & Technology Part II,1,What is a chromosome?,1,It is a DNA-protein structure.,A chromosome is a thread-like structure made mainly of DNA and proteins that carries genes.,SSC Science;Heredity and Evolution,Practice,Easy,,
Science & Technology Part II,1,What is DNA?,1,It stores hereditary information.,DNA is the molecule that stores genetic information.,SSC Science;Heredity and Evolution,Practice,Easy,,
Science & Technology Part II,1,What is a dominant trait?,1,It is expressed when its allele is present.,A dominant trait is expressed in an individual when the dominant allele is present.,SSC Science;Heredity and Evolution,Practice,Easy,,
Science & Technology Part II,1,What is a recessive trait?,1,It may be hidden by a dominant allele.,A recessive trait is expressed when the corresponding recessive alleles are present.,SSC Science;Heredity and Evolution,Practice,Easy,,
Science & Technology Part II,1,What is mutation?,1,It is a change in genetic material.,A mutation is a change in DNA or genetic material.,SSC Science;Heredity and Evolution,Practice,Easy,,
Science & Technology Part II,1,Who proposed the theory of natural selection?,1,Think of evolution by natural selection.,Charles Darwin proposed the theory of natural selection.,SSC Science;Heredity and Evolution,Practice,Easy,,
Science & Technology Part II,1,What is natural selection?,1,Favourable variations are selected.,Natural selection is the process in which organisms with favourable heritable variations survive and reproduce more successfully.,SSC Science;Heredity and Evolution,Practice,Medium,,
Science & Technology Part II,1,What is evolution?,1,Think of gradual change in populations.,Evolution is the gradual change in inherited characteristics of populations over generations.,SSC Science;Heredity and Evolution,Practice,Medium,,
Science & Technology Part II,1,What is speciation?,1,It is formation of new species.,Speciation is the formation of new species from existing populations.,SSC Science;Heredity and Evolution,Practice,Medium,,
Science & Technology Part II,1,Why are variations important in evolution?,1,They provide differences for selection.,Variations provide the raw material on which natural selection can act.,SSC Science;Heredity and Evolution,Practice,Medium,,
Science & Technology Part II,1,What is a fossil?,1,It is preserved evidence of ancient life.,"A fossil is preserved remains, impression or trace of an ancient organism.",SSC Science;Heredity and Evolution,Practice,Medium,,
Science & Technology Part II,1,How do fossils help in studying evolution?,1,They provide evidence from the past.,Fossils provide evidence about organisms that lived in the past and changes over time.,SSC Science;Heredity and Evolution,Practice,Medium,,
Science & Technology Part II,1,What is acquired character?,1,It develops during an organism's lifetime.,An acquired character is a feature developed during an individual's lifetime and is generally not inherited.,SSC Science;Heredity and Evolution,Practice,Hard,,
Science & Technology Part II,1,What is a homologous organ?,1,It has similar basic structure but may have different functions.,Homologous organs have a similar basic structural plan but may perform different functions.,SSC Science;Heredity and Evolution,Practice,Hard,,
Science & Technology Part II,1,What is a vestigial organ?,1,It has little or no important function in the present organism.,A vestigial organ is a reduced structure with little or no essential function in the present organism.,SSC Science;Heredity and Evolution,Practice,Hard,,
Science & Technology Part II,1,State one importance of Mendel's experiments.,1,They revealed basic laws of inheritance.,Mendel's experiments helped establish the basic principles of inheritance of traits.,SSC Science;Heredity and Evolution,Practice,Hard,,
