subject_name,chapter_number,question_text,marks,hint,easy_answer,keywords,question_type,difficulty,pyq_year,question_paper_id
Science & Technology Part II,2,What is nutrition?,1,It is obtaining and using food.,"Nutrition is the process of obtaining and using nutrients for energy, growth and maintenance.",SSC Science;Life Processes in Living Organisms Part-1,Practice,Easy,,
Science & Technology Part II,2,What is autotrophic nutrition?,1,The organism makes its own food.,"Autotrophic nutrition is nutrition in which organisms synthesize their own food, usually by photosynthesis.",SSC Science;Life Processes in Living Organisms Part-1,Practice,Easy,,
Science & Technology Part II,2,What is photosynthesis?,1,Plants make food using light.,Photosynthesis is the process by which green plants make food from carbon dioxide and water using light energy and chlorophyll.,SSC Science;Life Processes in Living Organisms Part-1,Practice,Easy,,
Science & Technology Part II,2,What is chlorophyll?,1,It is the green pigment involved in photosynthesis.,Chlorophyll is the green pigment that absorbs light energy for photosynthesis.,SSC Science;Life Processes in Living Organisms Part-1,Practice,Easy,,
Science & Technology Part II,2,What are stomata?,1,They are tiny pores on leaves.,Stomata are small pores through which gases are exchanged and water vapour is lost from leaves.,SSC Science;Life Processes in Living Organisms Part-1,Practice,Easy,,
Science & Technology Part II,2,What is cellular respiration?,1,Food is broken down to release energy.,Cellular respiration is the breakdown of food molecules to release usable energy for cellular activities.,SSC Science;Life Processes in Living Organisms Part-1,Practice,Easy,,
Science & Technology Part II,2,What is aerobic respiration?,1,It occurs in the presence of oxygen.,"Aerobic respiration is respiration in which food is broken down using oxygen, releasing energy.",SSC Science;Life Processes in Living Organisms Part-1,Practice,Easy,,
Science & Technology Part II,2,What is anaerobic respiration?,1,It occurs without oxygen.,Anaerobic respiration releases energy from food without using oxygen.,SSC Science;Life Processes in Living Organisms Part-1,Practice,Easy,,
Science & Technology Part II,2,Where does glycolysis occur?,1,In the cytoplasm.,Glycolysis occurs in the cytoplasm of the cell.,SSC Science;Life Processes in Living Organisms Part-1,Practice,Easy,,
Science & Technology Part II,2,What is ATP?,1,It is the cell's immediate energy currency.,ATP is a molecule that stores and supplies usable energy for cellular activities.,SSC Science;Life Processes in Living Organisms Part-1,Practice,Easy,,
Science & Technology Part II,2,What is the role of mitochondria in respiration?,1,They are major sites of aerobic respiration.,Mitochondria are the main sites of aerobic respiration and ATP production.,SSC Science;Life Processes in Living Organisms Part-1,Practice,Medium,,
Science & Technology Part II,2,What is digestion?,1,It breaks complex food into simpler substances.,Digestion is the breakdown of complex food into simpler soluble substances that can be absorbed.,SSC Science;Life Processes in Living Organisms Part-1,Practice,Medium,,
Science & Technology Part II,2,Where does digestion begin in humans?,1,In the mouth.,Digestion begins in the mouth with chewing and the action of saliva.,SSC Science;Life Processes in Living Organisms Part-1,Practice,Medium,,
Science & Technology Part II,2,What is the function of saliva?,1,It moistens food and begins starch digestion.,Saliva moistens food and contains amylase that begins digestion of starch.,SSC Science;Life Processes in Living Organisms Part-1,Practice,Medium,,
Science & Technology Part II,2,What is absorption?,1,It is uptake of digested nutrients.,Absorption is the passage of digested nutrients from the intestine into the blood or lymph.,SSC Science;Life Processes in Living Organisms Part-1,Practice,Medium,,
Science & Technology Part II,2,What is assimilation?,1,Cells use absorbed nutrients.,"Assimilation is the use of absorbed nutrients by body cells for energy, growth and repair.",SSC Science;Life Processes in Living Organisms Part-1,Practice,Medium,,
Science & Technology Part II,2,What is the role of small intestine?,1,It completes digestion and absorbs nutrients.,The small intestine is the main site of completion of digestion and absorption of nutrients.,SSC Science;Life Processes in Living Organisms Part-1,Practice,Hard,,
Science & Technology Part II,2,What are villi?,1,They are finger-like projections in the small intestine.,Villi increase the surface area of the small intestine for efficient absorption.,SSC Science;Life Processes in Living Organisms Part-1,Practice,Hard,,
Science & Technology Part II,2,Why is respiration necessary?,1,It supplies energy for life processes.,"Respiration releases energy needed for movement, growth, repair and other life processes.",SSC Science;Life Processes in Living Organisms Part-1,Practice,Hard,,
Science & Technology Part II,2,Differentiate photosynthesis and respiration in one point.,1,One stores energy; the other releases it.,"Photosynthesis stores light energy in food, while respiration releases usable energy from food.",SSC Science;Life Processes in Living Organisms Part-1,Practice,Hard,,
