subject_name,chapter_number,question_text,marks,hint,easy_answer,keywords,question_type,difficulty,pyq_year,question_paper_id
Science & Technology Part II,7,What is microbiology?,1,Study of microorganisms.,Microbiology is the study of microorganisms.,SSC Science;Introduction to Microbiology,Practice,Easy,,
Science & Technology Part II,7,What is a microorganism?,1,An organism generally too small to be seen clearly with the naked eye.,A microorganism is a microscopic organism that generally requires magnification for observation.,SSC Science;Introduction to Microbiology,Practice,Easy,,
Science & Technology Part II,7,Name two groups of microorganisms.,1,Bacteria and fungi are examples.,Bacteria and fungi are two groups of microorganisms.,SSC Science;Introduction to Microbiology,Practice,Easy,,
Science & Technology Part II,7,What is a bacterium?,1,A single-celled prokaryotic microorganism.,A bacterium is a microscopic single-celled prokaryotic organism.,SSC Science;Introduction to Microbiology,Practice,Easy,,
Science & Technology Part II,7,What is a virus?,1,An acellular infectious agent that replicates inside host cells.,A virus is an acellular infectious agent that can multiply only inside suitable host cells.,SSC Science;Introduction to Microbiology,Practice,Easy,,
Science & Technology Part II,7,Why are viruses called obligate intracellular parasites?,1,They reproduce only inside living host cells.,"Viruses depend on living host cells for replication, so they are obligate intracellular parasites.",SSC Science;Introduction to Microbiology,Practice,Easy,,
Science & Technology Part II,7,What is fermentation?,1,"Microbial conversion of organic substances, often without oxygen.","Fermentation is a microbial process that converts organic substances into products such as alcohols or acids, often without oxygen.",SSC Science;Introduction to Microbiology,Practice,Easy,,
Science & Technology Part II,7,Name one useful product of yeast fermentation.,1,Ethanol or carbon dioxide.,Yeast fermentation produces ethanol and carbon dioxide.,SSC Science;Introduction to Microbiology,Practice,Easy,,
Science & Technology Part II,7,What is antibiotic?,1,"A substance that inhibits or kills susceptible microorganisms, especially bacteria.",An antibiotic is a substance used against susceptible bacteria by inhibiting growth or killing them.,SSC Science;Introduction to Microbiology,Practice,Easy,,
Science & Technology Part II,7,Why do antibiotics not treat viral infections?,1,"Antibiotics target bacterial processes, not viruses.",Antibiotics act on bacterial structures or processes and therefore do not directly treat viral infections.,SSC Science;Introduction to Microbiology,Practice,Easy,,
Science & Technology Part II,7,What is pasteurization?,1,Controlled heating followed by cooling to reduce harmful microbes.,Pasteurization is controlled heat treatment used to reduce harmful microorganisms in foods such as milk.,SSC Science;Introduction to Microbiology,Practice,Medium,,
Science & Technology Part II,7,What is sterilization?,1,Complete removal or destruction of all forms of microbial life.,Sterilization is a process that destroys or removes all forms of microbial life from an object or medium.,SSC Science;Introduction to Microbiology,Practice,Medium,,
Science & Technology Part II,7,What is vaccination?,1,Administration of a vaccine to stimulate protective immunity.,Vaccination stimulates the immune system to develop protection against a specific infection.,SSC Science;Introduction to Microbiology,Practice,Medium,,
Science & Technology Part II,7,What is a vaccine?,1,A preparation that trains the immune system to recognize a pathogen or its components.,A vaccine is a biological preparation that stimulates an immune response and memory against a pathogen or its components.,SSC Science;Introduction to Microbiology,Practice,Medium,,
Science & Technology Part II,7,What is biotechnology?,1,Use of living organisms or biological systems for useful products or processes.,"Biotechnology uses organisms, cells or biological molecules to develop useful products and processes.",SSC Science;Introduction to Microbiology,Practice,Medium,,
Science & Technology Part II,7,What is curd formation an example of?,1,Useful microbial activity.,Curd formation is a useful microbial process involving lactic acid bacteria.,SSC Science;Introduction to Microbiology,Practice,Medium,,
Science & Technology Part II,7,How can microorganisms help in agriculture?,1,They can improve soil fertility and nutrient cycling.,"Useful microorganisms help in decomposition, nutrient cycling and biofertilizer production.",SSC Science;Introduction to Microbiology,Practice,Hard,,
Science & Technology Part II,7,What is a pathogen?,1,A microorganism or agent capable of causing disease.,A pathogen is an organism or infectious agent capable of causing disease.,SSC Science;Introduction to Microbiology,Practice,Hard,,
Science & Technology Part II,7,Why is hand hygiene important?,1,It reduces transfer of infectious microorganisms.,Hand hygiene helps reduce the spread of infectious microorganisms from one person or surface to another.,SSC Science;Introduction to Microbiology,Practice,Hard,,
Science & Technology Part II,7,State one harmful effect of microorganisms.,1,Some cause diseases or food spoilage.,"Some microorganisms cause diseases, spoil food or produce harmful substances.",SSC Science;Introduction to Microbiology,Practice,Hard,,
