subject_name,chapter_number,question_text,marks,hint,easy_answer,keywords,question_type,difficulty,pyq_year,question_paper_id
Science & Technology Part II,4,What is an ecosystem?,1,It includes organisms and their physical environment.,An ecosystem is a functional unit containing living organisms and their physical environment interacting with one another.,SSC Science;Environmental Management,Practice,Easy,,
Science & Technology Part II,4,What is a food chain?,1,It shows transfer of food and energy from one organism to another.,A food chain is a sequence showing how food and energy pass from one organism to another.,SSC Science;Environmental Management,Practice,Easy,,
Science & Technology Part II,4,What is a food web?,1,It is a network of interconnected food chains.,A food web is a network of interconnected food chains in an ecosystem.,SSC Science;Environmental Management,Practice,Easy,,
Science & Technology Part II,4,Who are producers?,1,They make their own food.,"Producers are organisms, mainly green plants, that make their own food.",SSC Science;Environmental Management,Practice,Easy,,
Science & Technology Part II,4,Who are consumers?,1,They obtain food from other organisms.,Consumers are organisms that obtain food by feeding on other organisms.,SSC Science;Environmental Management,Practice,Easy,,
Science & Technology Part II,4,What are decomposers?,1,They break down dead organic matter.,Decomposers break down dead organic matter and return nutrients to the environment.,SSC Science;Environmental Management,Practice,Easy,,
Science & Technology Part II,4,What is biodiversity?,1,It is variety of living organisms.,"Biodiversity is the variety of organisms, genes and ecosystems in a region or on Earth.",SSC Science;Environmental Management,Practice,Easy,,
Science & Technology Part II,4,Why is biodiversity important?,1,It supports stable ecosystems and useful resources.,"Biodiversity supports ecosystem stability and provides ecological, economic and genetic resources.",SSC Science;Environmental Management,Practice,Easy,,
Science & Technology Part II,4,What is an endangered species?,1,A species facing a high risk of extinction.,An endangered species is a species whose population is sufficiently low to face a high risk of extinction.,SSC Science;Environmental Management,Practice,Easy,,
Science & Technology Part II,4,What is conservation?,1,It is protection and wise use of natural resources.,Conservation means protecting and sustainably using biodiversity and natural resources.,SSC Science;Environmental Management,Practice,Easy,,
Science & Technology Part II,4,What is a national park?,1,A protected area for conservation of nature.,A national park is a protected area established mainly for conserving wildlife and ecosystems.,SSC Science;Environmental Management,Practice,Medium,,
Science & Technology Part II,4,What is a wildlife sanctuary?,1,A protected area for wildlife.,A wildlife sanctuary is a protected area where wildlife and habitats receive legal protection.,SSC Science;Environmental Management,Practice,Medium,,
Science & Technology Part II,4,What is a biosphere reserve?,1,A large area conserving ecosystems and biodiversity.,A biosphere reserve is a large protected area aimed at conserving biodiversity while allowing compatible human activities.,SSC Science;Environmental Management,Practice,Medium,,
Science & Technology Part II,4,What is deforestation?,1,It is large-scale removal of forests.,Deforestation is the clearing or removal of forests on a large scale.,SSC Science;Environmental Management,Practice,Medium,,
Science & Technology Part II,4,State one effect of deforestation.,1,It causes habitat loss and soil erosion.,"Deforestation can cause habitat loss, soil erosion, reduced biodiversity and climate impacts.",SSC Science;Environmental Management,Practice,Medium,,
Science & Technology Part II,4,What is waste management?,1,"It is collection, treatment and safe disposal or recovery of waste.","Waste management includes collection, segregation, treatment, recovery and safe disposal of waste.",SSC Science;Environmental Management,Practice,Medium,,
Science & Technology Part II,4,Why should waste be segregated?,1,Different wastes need different treatment.,"Waste segregation allows recyclable, biodegradable and hazardous wastes to be handled appropriately.",SSC Science;Environmental Management,Practice,Hard,,
Science & Technology Part II,4,What is composting?,1,Controlled decomposition of organic waste.,Composting is the controlled biological decomposition of biodegradable organic waste into manure-like material.,SSC Science;Environmental Management,Practice,Hard,,
Science & Technology Part II,4,What are the 3Rs?,1,"Reduce, Reuse, Recycle.","The 3Rs are Reduce, Reuse and Recycle, used to minimize waste generation and resource use.",SSC Science;Environmental Management,Practice,Hard,,
Science & Technology Part II,4,Why should plastic waste be reduced?,1,It persists and can pollute land and water.,"Plastic can persist for long periods and pollute ecosystems, so reducing and managing it is important.",SSC Science;Environmental Management,Practice,Hard,,
