subject_name,chapter_number,question_text,marks,hint,easy_answer,keywords,question_type,difficulty,pyq_year,question_paper_id
Science & Technology Part II,6,What is biological classification?,1,Grouping organisms based on similarities and differences.,Biological classification is the systematic grouping of organisms according to similarities and differences.,SSC Science;Animal Classification,Practice,Easy,,
Science & Technology Part II,6,Why are animals classified?,1,To study and identify them systematically.,"Classification makes the study, identification and comparison of animals easier.",SSC Science;Animal Classification,Practice,Easy,,
Science & Technology Part II,6,What is symmetry?,1,A balanced arrangement of body parts around an axis or plane.,Symmetry describes the balanced arrangement of body parts in an organism.,SSC Science;Animal Classification,Practice,Easy,,
Science & Technology Part II,6,What is radial symmetry?,1,Body parts are arranged around a central axis.,"In radial symmetry, similar body parts are arranged around a central axis.",SSC Science;Animal Classification,Practice,Easy,,
Science & Technology Part II,6,What is bilateral symmetry?,1,The body can be divided into similar right and left halves.,Bilateral symmetry allows one plane to divide the body into approximately equal right and left halves.,SSC Science;Animal Classification,Practice,Easy,,
Science & Technology Part II,6,What is diploblastic organization?,1,Body develops from two germ layers.,Diploblastic animals develop from two primary germ layers.,SSC Science;Animal Classification,Practice,Easy,,
Science & Technology Part II,6,What is triploblastic organization?,1,Body develops from three germ layers.,Triploblastic animals develop from three primary germ layers.,SSC Science;Animal Classification,Practice,Easy,,
Science & Technology Part II,6,What is a coelom?,1,A fluid-filled body cavity lined by mesoderm.,A coelom is a body cavity completely or substantially lined by mesoderm.,SSC Science;Animal Classification,Practice,Easy,,
Science & Technology Part II,6,What are vertebrates?,1,Animals with a vertebral column.,Vertebrates are animals that possess a backbone or vertebral column.,SSC Science;Animal Classification,Practice,Easy,,
Science & Technology Part II,6,What are invertebrates?,1,Animals without a vertebral column.,Invertebrates are animals that do not possess a vertebral column.,SSC Science;Animal Classification,Practice,Easy,,
Science & Technology Part II,6,Name one characteristic of Porifera.,1,They have numerous pores in the body.,Poriferans have many pores and a canal system for water flow.,SSC Science;Animal Classification,Practice,Medium,,
Science & Technology Part II,6,Name one characteristic of Cnidaria.,1,They possess stinging cells.,Cnidarians possess specialized stinging cells called cnidoblasts or cnidocytes.,SSC Science;Animal Classification,Practice,Medium,,
Science & Technology Part II,6,Name one characteristic of Annelida.,1,Their body is segmented.,"Annelids have a bilaterally symmetrical, segmented body.",SSC Science;Animal Classification,Practice,Medium,,
Science & Technology Part II,6,Name one characteristic of Arthropoda.,1,They have jointed appendages and an exoskeleton.,"Arthropods have a segmented body, jointed appendages and an exoskeleton.",SSC Science;Animal Classification,Practice,Medium,,
Science & Technology Part II,6,Name one characteristic of Mollusca.,1,They generally have a soft unsegmented body.,"Molluscs generally have a soft body, often protected by a shell.",SSC Science;Animal Classification,Practice,Medium,,
Science & Technology Part II,6,Name one characteristic of Echinodermata.,1,Adults generally show radial symmetry and have a water vascular system.,Echinoderms possess a water vascular system and adults generally show radial symmetry.,SSC Science;Animal Classification,Practice,Medium,,
Science & Technology Part II,6,What is the main feature of chordates?,1,Presence of a notochord at least during development.,Chordates possess a notochord at least at some stage of development.,SSC Science;Animal Classification,Practice,Hard,,
Science & Technology Part II,6,What is a mammal?,1,A vertebrate group in which females generally possess mammary glands.,Mammals are vertebrates characterized by mammary glands and hair at some stage of life.,SSC Science;Animal Classification,Practice,Hard,,
Science & Technology Part II,6,What is an oviparous animal?,1,It lays eggs that develop outside the mother's body.,"An oviparous animal lays eggs, with development occurring outside the mother's body.",SSC Science;Animal Classification,Practice,Hard,,
Science & Technology Part II,6,What is a viviparous animal?,1,It gives birth to young ones after internal development.,A viviparous animal gives birth to young ones that develop inside the mother's body.,SSC Science;Animal Classification,Practice,Hard,,
