subject_name,chapter_number,question_text,marks,hint,easy_answer,keywords,question_type,difficulty,pyq_year,question_paper_id
History & Political Science,5,What is mass media?,1,Recall the key definition or idea from this chapter.,Mass media are communication channels capable of reaching large numbers of people.,"What, is, mass, media",Practice,Easy,,
History & Political Science,5,Name one form of mass media.,1,Recall the key definition or idea from this chapter.,Newspapers are a form of mass media.,"Name, one, form, of, mass",Practice,Easy,,
History & Political Science,5,How can newspapers be historical sources?,1,Recall the key definition or idea from this chapter.,"They record contemporary events, opinions, advertisements and public reactions.","How, can, newspapers, be, historical",Practice,Easy,,
History & Political Science,5,What is the importance of old photographs?,1,Recall the key definition or idea from this chapter.,"They provide visual evidence about people, places, objects and events of the past.","What, is, the, importance, of",Practice,Easy,,
History & Political Science,5,How can radio help historians?,1,Recall the key definition or idea from this chapter.,"Radio recordings and reports can preserve contemporary voices, news and public communication.","How, can, radio, help, historians",Practice,Easy,,
History & Political Science,5,Why are films useful to historians?,1,Recall the key definition or idea from this chapter.,"Films can document events, social life, visual culture and contemporary attitudes.","Why, are, films, useful, to",Practice,Easy,,
History & Political Science,5,What is an archive of media material?,1,Recall the key definition or idea from this chapter.,"It is an organized collection preserving newspapers, photographs, recordings, films or other media records.","What, is, an, archive, of",Practice,Easy,,
History & Political Science,5,Why must media sources be evaluated critically?,1,Recall the key definition or idea from this chapter.,"They can contain selection, editorial viewpoints, errors or propaganda.","Why, must, media, sources, be",Practice,Easy,,
History & Political Science,5,How has digital media changed historical research?,1,Recall the key definition or idea from this chapter.,"It has made many records searchable, shareable and easier to access, while creating new preservation challenges.","How, has, digital, media, changed",Practice,Easy,,
History & Political Science,5,What is the role of advertisements as historical sources?,1,Recall the key definition or idea from this chapter.,"They reveal products, lifestyles, language, values and economic conditions of their time.","What, is, the, role, of",Practice,Easy,,
History & Political Science,5,How can newspapers help study public opinion?,2,Write the main point clearly and add one supporting detail.,"Editorials, letters, reports and coverage can reveal contemporary debates and attitudes.","How, can, newspapers, help, study",Practice,Medium,,
History & Political Science,5,Why should historians compare newspapers from different viewpoints?,2,Write the main point clearly and add one supporting detail.,Different publications may select and interpret the same event differently.,"Why, should, historians, compare, newspapers",Practice,Medium,,
History & Political Science,5,How can social media become a future historical source?,2,Write the main point clearly and add one supporting detail.,"Posts, images and videos can record contemporary experiences, debates and events.","How, can, social, media, become",Practice,Medium,,
History & Political Science,5,What problem does digital preservation create?,2,Write the main point clearly and add one supporting detail.,"Digital formats, platforms and storage systems can become obsolete or data can be lost.","What, problem, does, digital, preservation",Practice,Medium,,
History & Political Science,5,How can a photograph be misleading as evidence?,2,Write the main point clearly and add one supporting detail.,"Cropping, staging, selective publication or missing context can alter its meaning.","How, can, a, photograph, be",Practice,Medium,,
History & Political Science,5,Why are metadata useful for digital historical sources?,2,Write the main point clearly and add one supporting detail.,"Metadata can provide information such as date, creator, location, format and provenance.","Why, are, metadata, useful, for",Practice,Medium,,
History & Political Science,5,How did print media influence social movements?,3,"Explain the concept with a clear reason, distinction or example.","It helped circulate ideas, mobilize people and create public discussion.","How, did, print, media, influence",Practice,Hard,,
History & Political Science,5,How can media shape historical memory?,3,"Explain the concept with a clear reason, distinction or example.",Repeated selection and presentation of events can influence what societies remember and how.,"How, can, media, shape, historical",Practice,Hard,,
History & Political Science,5,Why is source verification important for online historical material?,3,"Explain the concept with a clear reason, distinction or example.","Digital material can be altered, misattributed or circulated without reliable context.","Why, is, source, verification, important",Practice,Hard,,
History & Political Science,5,How can historians responsibly use mass media?,3,"Explain the concept with a clear reason, distinction or example.","They should verify provenance, compare sources, understand context and distinguish fact from opinion.","How, can, historians, responsibly, use",Practice,Hard,,
