subject_name,chapter_number,question_text,marks,hint,easy_answer,keywords,question_type,difficulty,pyq_year,question_paper_id
Hindi,1.7,“खुला आकाश (पूरक पठन)” पाठ का मुख्य विषय क्या है?,1,"पाठाचा मुख्य विषय लक्षात ठेवा: स्वतंत्र सोच, अनुभव और जीवन को खुले दृष्टिकोण से देखना.","या पाठाचा मुख्य विषय स्वतंत्र सोच, अनुभव और जीवन को खुले दृष्टिकोण से देखना आहे.","खुला आकाश,स्वतंत्र दृष्टि",Important,Easy,,
Hindi Lokbharati,1.7,“खुला आकाश (पूरक पठन)” पाठ से मिलने वाला प्रमुख संदेश क्या है?,1,पाठातील मूल्य किंवा संदेश आठवा: स्वतंत्र दृष्टि.,पाठाचा प्रमुख संदेश स्वतंत्र दृष्टि या मूल्याला महत्त्व देणे हा आहे.,"खुला आकाश,स्वतंत्र दृष्टि,संदेश",Important,Easy,,
Hindi Lokbharati,1.7,“खुला आकाश (पूरक पठन)” की रचना-विधा क्या है?,1,रचना के साहित्यिक प्रकार पर ध्यान दें.,“खुला आकाश (पूरक पठन)” की रचना-विधा डायरी अंश है.,"खुला आकाश,डायरी अंश",Important,Easy,,
Hindi Lokbharati,1.7,“खुला आकाश (पूरक पठन)” के रचनाकार कौन हैं?,1,पाठ के लेखक/कवि का नाम याद करें.,“खुला आकाश (पूरक पठन)” के रचनाकार कुँवर नारायण हैं.,"खुला आकाश,कुँवर नारायण",Important,Easy,,
Hindi Lokbharati,1.7,“खुला आकाश (पूरक पठन)” में किस मानवीय मूल्य पर विशेष जोर मिलता है?,1,पाठ का मूल्य-आधारित संदेश सोचें.,इस पाठ में स्वतंत्र दृष्टि के मानवीय मूल्य पर विशेष जोर मिलता है.,"खुला आकाश,स्वतंत्र दृष्टि,मानवीय मूल्य",Important,Easy,,
Hindi Lokbharati,1.7,“खुला आकाश (पूरक पठन)” का शीर्षक पाठ के आशय से कैसे जुड़ता है?,2,शीर्षक और मुख्य विचार का संबंध बताइए.,शीर्षक खुला आकाश के माध्यम से पाठ के मुख्य आशय की ओर संकेत करता है और डायरी के माध्यम से व्यक्तिगत अनुभव और विचारों की अभिव्यक्ति को स्पष्ट करता है.,"खुला आकाश,शीर्षक,आशय",Important,Easy,,
Hindi Lokbharati,1.7,“खुला आकाश (पूरक पठन)” से विद्यार्थियों को क्या सीख मिलती है?,2,व्यावहारिक जीवन से जोड़कर उत्तर दें.,विद्यार्थियों को स्वतंत्र दृष्टि अपनाने और डायरी के माध्यम से व्यक्तिगत अनुभव और विचारों की अभिव्यक्ति को जीवन में उतारने की सीख मिलती है.,"खुला आकाश,शिक्षा,स्वतंत्र दृष्टि",Important,Easy,,
Hindi Lokbharati,1.7,“खुला आकाश (पूरक पठन)” में लेखक/कवि ने किस दृष्टिकोण को सामने रखा है?,2,लेखक की मूल दृष्टि पहचानें.,"रचनाकार ने स्वतंत्र सोच, अनुभव और जीवन को खुले दृष्टिकोण से देखना को केंद्र में रखकर संवेदनशील और विचारपूर्ण दृष्टिकोण प्रस्तुत किया है.","खुला आकाश,दृष्टिकोण",Important,Easy,,
Hindi Lokbharati,1.7,“खुला आकाश (पूरक पठन)” का संबंध आज के जीवन से कैसे जोड़ा जा सकता है?,2,आजच्या समाजातील उदाहरणाचा विचार करा.,आज के जीवन में भी स्वतंत्र दृष्टि आवश्यक है; इसलिए पाठ का संदेश व्यवहार में उपयोगी है.,"खुला आकाश,वर्तमान जीवन,संदेश",Important,Easy,,
Hindi Lokbharati,1.7,“खुला आकाश (पूरक पठन)” के आधार पर एक वाक्य में पाठ का सार लिखिए।,2,मुख्य विचार को एक वाक्य में समेटें.,"यह रचना स्वतंत्र सोच, अनुभव और जीवन को खुले दृष्टिकोण से देखना के माध्यम से डायरी के माध्यम से व्यक्तिगत अनुभव और विचारों की अभिव्यक्ति का प्रभावी संदेश देती है.","खुला आकाश,सारांश",Important,Easy,,
Hindi Lokbharati,1.7,“खुला आकाश (पूरक पठन)” में स्वतंत्र दृष्टि का महत्व अपने शब्दों में स्पष्ट कीजिए।,2,मूल्य और पाठ का संबंध बताइए.,स्वतंत्र दृष्टि से व्यक्ति का दृष्टिकोण मजबूत होता है और पाठ में यही मूल्य डायरी के माध्यम से व्यक्तिगत अनुभव और विचारों की अभिव्यक्ति के रूप में सामने आता है.,"खुला आकाश,स्वतंत्र दृष्टि,स्पष्टीकरण",Important,Medium,,
Hindi Lokbharati,1.7,“खुला आकाश (पूरक पठन)” के प्रमुख विचार को दो बिंदुओं में लिखिए।,2,मुख्य आशय के दो छोटे मुद्दे लिखें.,"१) स्वतंत्र सोच, अनुभव और जीवन को खुले दृष्टिकोण से देखना २) डायरी के माध्यम से व्यक्तिगत अनुभव और विचारों की अभिव्यक्ति","खुला आकाश,मुख्य विचार",Important,Medium,,
Hindi Lokbharati,1.7,“खुला आकाश (पूरक पठन)” के आधार पर रचनाकार का उद्देश्य स्पष्ट कीजिए।,3,"रचना क्यों लिखी गई होगी, यह सोचें.","रचनाकार का उद्देश्य स्वतंत्र सोच, अनुभव और जीवन को खुले दृष्टिकोण से देखना को प्रभावी ढंग से सामने लाना और पाठक को स्वतंत्र दृष्टि के प्रति जागरूक करना है.","खुला आकाश,उद्देश्य,स्वतंत्र दृष्टि",Important,Medium,,
Hindi Lokbharati,1.7,“खुला आकाश (पूरक पठन)” में व्यक्त विचारों की वर्तमान समाज में उपयोगिता स्पष्ट कीजिए।,3,पाठ का संदेश आजच्या परिस्थितीशी जोडा.,आज भी स्वतंत्र दृष्टि की आवश्यकता है; इसलिए डायरी के माध्यम से व्यक्तिगत अनुभव और विचारों की अभिव्यक्ति से जुड़ा संदेश सामाजिक और व्यक्तिगत जीवन में उपयोगी है.,"खुला आकाश,वर्तमान समाज,उपयोगिता",Important,Medium,,
Hindi Lokbharati,1.7,“खुला आकाश (पूरक पठन)” के आशय को समझाने के लिए उपयुक्त उदाहरण दीजिए।,3,पाठ के संदेश से मिलता-जुलता जीवन-उदाहरण सोचें.,उदाहरण के रूप में ऐसा प्रसंग लिया जा सकता है जिसमें व्यक्ति स्वतंत्र दृष्टि को अपनाकर डायरी के माध्यम से व्यक्तिगत अनुभव और विचारों की अभिव्यक्ति को व्यवहार में सिद्ध करता है.,"खुला आकाश,उदाहरण,स्वतंत्र दृष्टि",Important,Medium,,
Hindi Lokbharati,1.7,“खुला आकाश (पूरक पठन)” की भाषा/शैली की एक विशेषता लिखकर उसका प्रभाव बताइए।,3,रचना-विधा के अनुसार शैली का विचार करें.,"रचना की डायरी अंश शैली विषय को सहज और प्रभावी बनाती है तथा स्वतंत्र सोच, अनुभव और जीवन को खुले दृष्टिकोण से देखना को पाठक तक स्पष्ट रूप से पहुँचाती है.","खुला आकाश,भाषा,शैली",Important,Medium,,
Hindi Lokbharati,1.7,“खुला आकाश (पूरक पठन)” का चिकित्सक/शिक्षक/विद्यार्थी/समाजसेवकाच्या दृष्टिकोनातून संदेश स्पष्ट कीजिए।,4,भूमिका बदलूनही मुख्य मूल्य कायम ठेवा.,कोणत्याही सामाजिक भूमिकेतून पाहिले तरी स्वतंत्र दृष्टि महत्त्वाचे आहे; रचना डायरी के माध्यम से व्यक्तिगत अनुभव और विचारों की अभिव्यक्तिद्वारे जबाबदार आणि संवेदनशील वर्तनाची प्रेरणा देते.,"खुला आकाश,दृष्टिकोन,स्वतंत्र दृष्टि",Important,Hard,,
Hindi Lokbharati,1.7,“खुला आकाश (पूरक पठन)” के मुख्य विचार और उसके सामाजिक प्रभाव में संबंध स्पष्ट कीजिए।,4,मुख्य विचार → व्यक्ति → समाज असा संबंध मांडावा.,"रचनेतील स्वतंत्र सोच, अनुभव और जीवन को खुले दृष्टिकोण से देखना व्यक्तीच्या विचारांना दिशा देते; स्वतंत्र दृष्टि वाढल्यास सामाजिक वर्तन अधिक संवेदनशील होते आणि डायरी के माध्यम से व्यक्तिगत अनुभव और विचारों की अभिव्यक्ति साध्य होण्यास मदत होते.","खुला आकाश,सामाजिक प्रभाव",Important,Hard,,
Hindi Lokbharati,1.7,“खुला आकाश (पूरक पठन)” के आधार पर “आज के विद्यार्थी के लिए क्या करना चाहिए?” विषय पर संक्षिप्त उत्तर लिखिए।,4,पाठातील मूल्याचे कृतीत रूपांतर करा.,विद्यार्थ्यांनी स्वतंत्र दृष्टि स्वीकारून डायरी के माध्यम से व्यक्तिगत अनुभव और विचारों की अभिव्यक्ति प्रत्यक्ष कृतीत आणावे आणि पाठातून मिळणारा सकारात्मक संदेश दैनंदिन जीवनात वापरावा.,"खुला आकाश,विद्यार्थी,कृती,स्वतंत्र दृष्टि",Important,Hard,,
Hindi Lokbharati,1.7,"“खुला आकाश (पूरक पठन)” का 4 अंकों के लिए संक्षिप्त विश्लेषण कीजिए—विषय, संदेश, मूल्य और वर्तमान उपयोगिता।",4,चार मुद्दे क्रमाने लिहा.,"विषय: स्वतंत्र सोच, अनुभव और जीवन को खुले दृष्टिकोण से देखना; संदेश: डायरी के माध्यम से व्यक्तिगत अनुभव और विचारों की अभिव्यक्ति; मूल्य: स्वतंत्र दृष्टि; वर्तमान उपयोगिता: आजच्या जीवनात या विचाराचा प्रत्यक्ष उपयोग होतो.","खुला आकाश,विश्लेषण,स्वतंत्र दृष्टि,वर्तमान उपयोगिता",Important,Hard,,
