subject_name,chapter_number,question_text,marks,hint,easy_answer,keywords,question_type,difficulty,pyq_year,question_paper_id
Geography,10,Why are roadways useful for short-distance transport?,1,Use the key concept and recall the related diagram or map.,They provide flexible door-to-door movement over shorter distances.,"roadways,short distance,transport, VisualTag:geo_q10_11",Practice,Medium,,
Geography,10,Why are railways suitable for bulk goods?,1,Use the key concept and recall the related diagram or map.,They can move large quantities over long distances efficiently.,"railways,bulk goods,long distance, VisualTag:geo_q10_12",Practice,Medium,,
Geography,10,What is an advantage of waterways?,1,Use the key concept and recall the related diagram or map.,They can transport heavy and bulky goods at relatively low cost.,"waterways,heavy goods,transport cost, VisualTag:geo_q10_13",Practice,Medium,,
Geography,10,Why are airways useful for urgent travel?,1,Use the key concept and recall the related diagram or map.,They provide very fast movement over long distances.,"airways,fast transport,long distance, VisualTag:geo_q10_14",Practice,Medium,,
Geography,10,What is mass communication?,1,Use the key concept and recall the related diagram or map.,"Communication that reaches a large number of people through media such as television, radio or newspapers.","mass communication,media,large audience, VisualTag:geo_q10_15",Practice,Medium,,
Geography,10,How can transport and communication support markets?,2,Use the key concept and recall the related diagram or map.,"They connect producers, consumers, information and goods across places.","transport,communication,market,goods, VisualTag:geo_q10_16",Practice,Hard,,
Geography,10,Why is a road network important to rural areas?,2,Use the key concept and recall the related diagram or map.,"It connects villages with markets, schools, health services and towns.","road network,rural areas,services, VisualTag:geo_q10_17",Practice,Hard,,
Geography,10,How does the internet change communication?,2,Use the key concept and recall the related diagram or map.,It allows rapid exchange of information across long distances.,"internet,communication,information, VisualTag:geo_q10_18",Practice,Hard,,
Geography,10,Why can poor transport slow economic development?,2,Use the key concept and recall the related diagram or map.,"High travel and delivery costs can limit access to markets, jobs and services.","transport,economic development,markets, VisualTag:geo_q10_19",Practice,Hard,,
Geography,10,How are transport and communication interdependent?,2,Use the key concept and recall the related diagram or map.,Transport moves people and goods while communication moves information needed to coordinate activities.,"transport,communication,infrastructure,information, VisualTag:geo_q10_20",Practice,Hard,,
