subject_name,chapter_number,question_text,marks,hint,easy_answer,keywords,question_type,difficulty,pyq_year,question_paper_id
Geography,6,What is population?,1,Recall the key definition or point.,The total number of people living in a particular area.,"Geography,Class 10,Chapter 6",Practice,Easy,,
Geography,6,What is population density?,1,Recall the key definition or point.,"The number of people living per unit area, usually per square kilometre.","Geography,Class 10,Chapter 6",Practice,Easy,,
Geography,6,What is population distribution?,1,Recall the key definition or point.,The spatial pattern in which people are spread over an area.,"Geography,Class 10,Chapter 6",Practice,Easy,,
Geography,6,Name one factor affecting population distribution.,1,Recall the key definition or point.,Availability of water.,"Geography,Class 10,Chapter 6",Practice,Easy,,
Geography,6,Why are fertile plains densely populated?,1,Recall the key definition or point.,"They provide favourable conditions for agriculture, transport and settlements.","Geography,Class 10,Chapter 6",Practice,Easy,,
Geography,6,What is birth rate?,1,Recall the key definition or point.,The number of live births per thousand people in a year.,"Geography,Class 10,Chapter 6",Practice,Easy,,
Geography,6,What is death rate?,1,Recall the key definition or point.,The number of deaths per thousand people in a year.,"Geography,Class 10,Chapter 6",Practice,Easy,,
Geography,6,What is migration?,1,Recall the key definition or point.,Movement of people from one place to another for a temporary or permanent period.,"Geography,Class 10,Chapter 6",Practice,Easy,,
Geography,6,What is literacy rate?,1,Recall the key definition or point.,The percentage of literate people in a population of the relevant age group.,"Geography,Class 10,Chapter 6",Practice,Easy,,
Geography,6,Why is population data useful?,1,Recall the key definition or point.,"It helps in planning education, health, housing and other services.","Geography,Class 10,Chapter 6",Practice,Easy,,
