subject_name,chapter_number,question_text,marks,hint,easy_answer,keywords,question_type,difficulty,pyq_year,question_paper_id
Marathi Kumarbharati,2,“बोलतो मराठी…” या पाठाचा केंद्रबिंदू काय आहे?,1,"पाठातील मुख्य आशय, प्रसंग किंवा मूल्य लक्षात ठेवा.","मराठी भाषेचे सौंदर्य, सामर्थ्य आणि अभिमान हा केंद्रबिंदू आहे.","बोलतो_मराठी,SSC,Revision",Important,Easy,,
Marathi Kumarbharati,2,मराठी भाषा व्यक्तिमत्त्वाशी कशी जोडली जाते?,1,"पाठातील मुख्य आशय, प्रसंग किंवा मूल्य लक्षात ठेवा.","भाषा व्यक्तीची संस्कृती, विचार आणि ओळख व्यक्त करते.","बोलतो_मराठी,SSC,Revision",Important,Easy,,
Marathi Kumarbharati,2,मातृभाषेचे महत्त्व काय?,1,"पाठातील मुख्य आशय, प्रसंग किंवा मूल्य लक्षात ठेवा.",मातृभाषेत विचार सहज व्यक्त होतात आणि सांस्कृतिक मुळे मजबूत होतात.,"बोलतो_मराठी,SSC,Revision",Important,Easy,,
Marathi Kumarbharati,2,मराठी बोलण्याबद्दल अभिमान का असावा?,1,"पाठातील मुख्य आशय, प्रसंग किंवा मूल्य लक्षात ठेवा.","मराठी समृद्ध साहित्य, इतिहास आणि सांस्कृतिक वारसा असलेली भाषा आहे.","बोलतो_मराठी,SSC,Revision",Important,Easy,,
Marathi Kumarbharati,2,भाषा जिवंत राहण्यासाठी काय आवश्यक आहे?,1,"पाठातील मुख्य आशय, प्रसंग किंवा मूल्य लक्षात ठेवा.","दैनंदिन वापर, वाचन, लेखन आणि पुढच्या पिढीपर्यंत हस्तांतरण आवश्यक आहे.","बोलतो_मराठी,SSC,Revision",Important,Easy,,
Marathi Kumarbharati,2,भाषेतील बोलींचे महत्त्व काय?,1,"पाठातील मुख्य आशय, प्रसंग किंवा मूल्य लक्षात ठेवा.",बोलीभाषा मराठीच्या विविधतेला आणि लोकजीवनाला समृद्ध करतात.,"बोलतो_मराठी,SSC,Revision",Important,Easy,,
Marathi Kumarbharati,2,मराठीच्या समृद्ध साहित्यपरंपरेचा उपयोग काय?,1,"पाठातील मुख्य आशय, प्रसंग किंवा मूल्य लक्षात ठेवा.",ती विचारविश्व वाढवते आणि भाषिक अभिव्यक्ती समृद्ध करते.,"बोलतो_मराठी,SSC,Revision",Important,Easy,,
Marathi Kumarbharati,2,भाषिक अस्मिता म्हणजे काय?,1,"पाठातील मुख्य आशय, प्रसंग किंवा मूल्य लक्षात ठेवा.","आपल्या भाषेबद्दल असलेली आत्मीयता, अभिमान आणि जपण्याची जाणीव म्हणजे भाषिक अस्मिता.","बोलतो_मराठी,SSC,Revision",Important,Easy,,
Marathi Kumarbharati,2,इतर भाषा शिकताना मातृभाषेबद्दलची भूमिका कशी असावी?,1,"पाठातील मुख्य आशय, प्रसंग किंवा मूल्य लक्षात ठेवा.",इतर भाषा शिकाव्यात; पण मातृभाषेचा सन्मान आणि वापरही टिकवावा.,"बोलतो_मराठी,SSC,Revision",Important,Easy,,
Marathi Kumarbharati,2,पाठाचा विद्यार्थ्यांना कोणता संदेश आहे?,1,"पाठातील मुख्य आशय, प्रसंग किंवा मूल्य लक्षात ठेवा.","मराठी प्रेमाने, आत्मविश्वासाने आणि योग्य पद्धतीने वापरावी.","बोलतो_मराठी,SSC,Revision",Important,Easy,,
