subject_name,chapter_number,question_text,marks,hint,easy_answer,keywords,question_type,difficulty,pyq_year,question_paper_id
Hindi,23.8,“मैं पुस्तक पढ़ता हूँ” किस काल का वाक्य है?।,1,वर्तमान समय की क्रिया देखें।,वर्तमान काल।,काल,Important,Easy,,
Hindi,23.8,“सीमा कल परीक्षा देगी” किस काल का उदाहरण है?।,1,भविष्य में होने वाली क्रिया पहचानिए।,भविष्यत् काल।,काल,Important,Easy,,
Hindi,23.8,“मोहन ने खाना खाया” किस काल का वाक्य है?।,1,क्रिया पहले हो चुकी है।,भूतकाल।,काल,Important,Easy,,
Hindi,23.8,“राम पत्र लिखता है” को कर्मवाच्य में बदलिए।,1,कर्म “पत्र” को आगे लाकर क्रिया बदलें।,पत्र राम द्वारा लिखा जाता है।,वाच्य,Important,Easy,,
Hindi,23.8,कर्तृवाच्य की मुख्य पहचान क्या है?।,1,कर्ता की प्रधानता पर ध्यान दें।,"जिस वाक्य में कर्ता प्रधान होता है, वह कर्तृवाच्य कहलाता है।","वाच्य,कर्तृवाच्य",Important,Easy,,
Hindi,23.8,“मैं पुस्तक पढ़ता हूँ” किस काल का वाक्य है? — अभ्यास प्रश्न 6.,1,वर्तमान समय की क्रिया देखें।,वर्तमान काल।,काल,Important,Easy,,
Hindi,23.8,“सीमा कल परीक्षा देगी” किस काल का उदाहरण है? — अभ्यास प्रश्न 7.,1,भविष्य में होने वाली क्रिया पहचानिए।,भविष्यत् काल।,काल,Important,Easy,,
Hindi,23.8,“मोहन ने खाना खाया” किस काल का वाक्य है? — अभ्यास प्रश्न 8.,1,क्रिया पहले हो चुकी है।,भूतकाल।,काल,Important,Easy,,
Hindi,23.8,“राम पत्र लिखता है” को कर्मवाच्य में बदलिए — अभ्यास प्रश्न 9.,1,कर्म “पत्र” को आगे लाकर क्रिया बदलें।,पत्र राम द्वारा लिखा जाता है।,वाच्य,Important,Easy,,
Hindi,23.8,कर्तृवाच्य की मुख्य पहचान क्या है? — अभ्यास प्रश्न 10.,1,कर्ता की प्रधानता पर ध्यान दें।,"जिस वाक्य में कर्ता प्रधान होता है, वह कर्तृवाच्य कहलाता है।","वाच्य,कर्तृवाच्य",Important,Easy,,
Hindi,23.8,“मैं पुस्तक पढ़ता हूँ” किस काल का वाक्य है? — अभ्यास प्रश्न 11.,2,वर्तमान समय की क्रिया देखें।,वर्तमान काल।,काल,Important,Medium,,
Hindi,23.8,“सीमा कल परीक्षा देगी” किस काल का उदाहरण है? — अभ्यास प्रश्न 12.,2,भविष्य में होने वाली क्रिया पहचानिए।,भविष्यत् काल।,काल,Important,Medium,,
Hindi,23.8,“मोहन ने खाना खाया” किस काल का वाक्य है? — अभ्यास प्रश्न 13.,2,क्रिया पहले हो चुकी है।,भूतकाल।,काल,Important,Medium,,
Hindi,23.8,“राम पत्र लिखता है” को कर्मवाच्य में बदलिए — अभ्यास प्रश्न 14.,2,कर्म “पत्र” को आगे लाकर क्रिया बदलें।,पत्र राम द्वारा लिखा जाता है।,वाच्य,Important,Medium,,
Hindi,23.8,कर्तृवाच्य की मुख्य पहचान क्या है? — अभ्यास प्रश्न 15.,2,कर्ता की प्रधानता पर ध्यान दें।,"जिस वाक्य में कर्ता प्रधान होता है, वह कर्तृवाच्य कहलाता है।","वाच्य,कर्तृवाच्य",Important,Medium,,
Hindi,23.8,“मैं पुस्तक पढ़ता हूँ” किस काल का वाक्य है? — अभ्यास प्रश्न 16.,2,वर्तमान समय की क्रिया देखें।,वर्तमान काल।,काल,Important,Medium,,
Hindi,23.8,“सीमा कल परीक्षा देगी” किस काल का उदाहरण है? — अभ्यास प्रश्न 17.,4,भविष्य में होने वाली क्रिया पहचानिए।,भविष्यत् काल।,काल,Important,Hard,,
Hindi,23.8,“मोहन ने खाना खाया” किस काल का वाक्य है? — अभ्यास प्रश्न 18.,4,क्रिया पहले हो चुकी है।,भूतकाल।,काल,Important,Hard,,
Hindi,23.8,“राम पत्र लिखता है” को कर्मवाच्य में बदलिए — अभ्यास प्रश्न 19.,4,कर्म “पत्र” को आगे लाकर क्रिया बदलें।,पत्र राम द्वारा लिखा जाता है।,वाच्य,Important,Hard,,
Hindi,23.8,कर्तृवाच्य की मुख्य पहचान क्या है? — अभ्यास प्रश्न 20.,4,कर्ता की प्रधानता पर ध्यान दें।,"जिस वाक्य में कर्ता प्रधान होता है, वह कर्तृवाच्य कहलाता है।","वाच्य,कर्तृवाच्य",Important,Hard,,
