subject_name,chapter_number,question_text,marks,hint,easy_answer,keywords,question_type,difficulty,pyq_year,question_paper_id
Mathematics Part II,6,Define sin θ in a right triangle.,1,Use opposite and hypotenuse.,sin θ = opposite side / hypotenuse.,"sine,trigonometry",Practice,Easy,,
Mathematics Part II,6,Define cos θ in a right triangle.,1,Use adjacent and hypotenuse.,cos θ = adjacent side / hypotenuse.,"cosine,trigonometry",Practice,Easy,,
Mathematics Part II,6,Define tan θ in a right triangle.,1,Use opposite and adjacent.,tan θ = opposite side / adjacent side.,"tangent ratio,trigonometry",Practice,Easy,,
Mathematics Part II,6,Write the value of sin 30°.,1,Recall standard angle values.,sin 30° = 1/2.,"standard values,sin30",Practice,Easy,,
Mathematics Part II,6,Write the value of cos 60°.,1,Recall standard angle values.,cos 60° = 1/2.,"standard values,cos60",Practice,Easy,,
Mathematics Part II,6,Write the value of tan 45°.,1,Equal legs in a 45-45-90 triangle.,tan 45° = 1.,"standard values,tan45",Practice,Easy,,
Mathematics Part II,6,Write the value of sin 90°.,1,Use standard values.,sin 90° = 1.,"standard values,sin90",Practice,Easy,,
Mathematics Part II,6,Write the value of cos 0°.,1,Use standard values.,cos 0° = 1.,"standard values,cos0",Practice,Easy,,
Mathematics Part II,6,"If sin θ=3/5 for an acute angle, find cos θ.",1,Think of a 3-4-5 triangle.,cos θ=4/5.,"trig ratio,3-4-5",Practice,Easy,,
Mathematics Part II,6,"If tan θ=3/4 for an acute angle, find sin θ.",1,"Take opposite=3, adjacent=4, hypotenuse=5.",sin θ=3/5.,"tan,sin,3-4-5",Practice,Easy,,
Mathematics Part II,6,Evaluate sin²30° + cos²30°.,2,Use the identity sin²θ+cos²θ=1.,1.,"identity,sin,cos",Practice,Medium,,
Mathematics Part II,6,"State the identity connecting tan θ, sin θ and cos θ.",2,Divide sine by cosine.,tan θ = sin θ / cos θ.,"identity,tan",Practice,Medium,,
Mathematics Part II,6,A pole 10 m high casts a shadow 10√3 m long. Find the angle of elevation of the sun.,2,tan θ = height/shadow.,"tan θ=10/(10√3)=1/√3, so θ=30°.","height distance,angle elevation",Practice,Medium,,
Mathematics Part II,6,"From a point 20 m from a tower, the angle of elevation of the top is 45°. Find tower height.",2,tan45°=height/20.,"1=h/20, so h=20 m.","height distance,tan45",Practice,Medium,,
Mathematics Part II,6,A ladder 10 m long makes an angle 30° with the ground. How high does it reach on a wall?,2,Height is opposite to 30°; use sin.,h=10 sin30°=5 m.,"ladder,sin30",Practice,Medium,,
Mathematics Part II,6,"If cos θ=12/13 for acute θ, find sin θ and tan θ.",2,Use a 5-12-13 triangle.,sin θ=5/13 and tan θ=5/12.,"trig ratios,5-12-13",Practice,Medium,,
Mathematics Part II,6,Evaluate 2 sin30° + cos60°.,3,Substitute both as 1/2.,2×1/2 + 1/2 = 3/2.,"standard values,evaluation",Practice,Hard,,
Mathematics Part II,6,Evaluate tan45° × cos60°.,3,Use tan45°=1 and cos60°=1/2.,1/2.,"standard values,evaluation",Practice,Hard,,
Mathematics Part II,6,"A tree is observed at an angle of elevation 60° from a point 10 m away. Find its height, ignoring eye level.",3,tan60°=h/10.,h=10√3 m.,"height distance,tan60",Practice,Hard,,
Mathematics Part II,6,Explain the difference between angle of elevation and angle of depression.,3,Compare line of sight with the horizontal.,Elevation is measured upward from the horizontal to an object above; depression is measured downward from the horizontal to an object below.,"elevation,depression,concept",Practice,Hard,,
