subject_name,chapter_number,question_text,marks,hint,easy_answer,keywords,question_type,difficulty,pyq_year,question_paper_id
Science & Technology Part I,7,What is a lens?,1,It refracts light.,A lens refracts light and has curved boundaries.,SSC Science;Lenses,Practice,Easy,,
Science & Technology Part I,7,Name the two main types of lenses.,1,"One converges, one diverges.",Convex and concave.,SSC Science;Lenses,Practice,Easy,,
Science & Technology Part I,7,What does a convex lens do to parallel rays?,1,It is converging lens.,Parallel rays converge.,SSC Science;Lenses,Practice,Easy,,
Science & Technology Part I,7,What does a concave lens do to parallel rays?,1,It is diverging lens.,Parallel rays diverge.,SSC Science;Lenses,Practice,Easy,,
Science & Technology Part I,7,What is the principal focus of a convex lens?,1,Think converging rays.,It is the convergence point of parallel rays.,SSC Science;Lenses,Practice,Easy,,
Science & Technology Part I,7,What is focal length?,1,Usually denoted f.,f is distance from optical centre to focus.,SSC Science;Lenses,Practice,Easy,,
Science & Technology Part I,7,What is the SI unit of lens power?,1,Power P = 1/f in metres.,SI practical unit is dioptre.,SSC Science;Lenses,Practice,Easy,,
Science & Technology Part I,7,Write the formula for power of a lens.,1,Use focal length in metres.,P = 1/f.,SSC Science;Lenses,Practice,Easy,,
Science & Technology Part I,7,What is the sign of power of a convex lens?,1,It has positive focal length by sign convention.,Convex lens has positive power.,SSC Science;Lenses,Practice,Easy,,
Science & Technology Part I,7,What is the sign of power of a concave lens?,1,It has negative focal length.,Concave lens has negative power.,SSC Science;Lenses,Practice,Easy,,
Science & Technology Part I,7,What is magnification?,1,m = hᵢ/hₒ.,m = hᵢ/hₒ.,SSC Science;Lenses,Practice,Medium,,
Science & Technology Part I,7,What kind of image is formed by a concave lens for a real object?,1,This is the standard result.,"Concave lens forms virtual, erect, diminished image.",SSC Science;Lenses,Practice,Medium,,
Science & Technology Part I,7,What happens when an object is placed beyond 2F of a convex lens?,1,Use standard ray diagram.,"Image is real, inverted and smaller between F and 2F.",SSC Science;Lenses,Practice,Medium,,
Science & Technology Part I,7,What happens when an object is at 2F of a convex lens?,1,Object and image are symmetric.,Image is same size at 2F.,SSC Science;Lenses,Practice,Medium,,
Science & Technology Part I,7,What happens when an object is between F and 2F of a convex lens?,1,Move object closer to focus.,Image is enlarged beyond 2F.,SSC Science;Lenses,Practice,Medium,,
Science & Technology Part I,7,What happens when an object is at F of a convex lens?,1,Refracted rays become parallel.,Image is at infinity.,SSC Science;Lenses,Practice,Medium,,
Science & Technology Part I,7,What happens when an object is between optical centre and F of a convex lens?,1,This is a magnifying-glass case.,"Image is virtual, erect and enlarged.",SSC Science;Lenses,Practice,Hard,,
Science & Technology Part I,7,Why is a convex lens used as a magnifying glass?,1,Object lies between O and F.,It gives an enlarged virtual image.,SSC Science;Lenses,Practice,Hard,,
Science & Technology Part I,7,Why are concave lenses used in spectacles for myopia?,1,Myopic eye converges too much.,Concave lenses correct myopia.,SSC Science;Lenses,Practice,Hard,,
Science & Technology Part I,7,What is the lens formula?,1,Use Cartesian sign convention.,1/f = 1/v − 1/u.,SSC Science;Lenses,Practice,Hard,,
