subject_name,chapter_number,question_text,marks,hint,easy_answer,keywords,question_type,difficulty,pyq_year,question_paper_id
Science & Technology Part I,4,What is electric current?,1,I = Q/t.,Current is charge flowing per unit time.,SSC Science;Effects of Electric Current,Practice,Easy,,
Science & Technology Part I,4,What is the SI unit of electric current?,1,Current unit.,SI unit is ampere.,SSC Science;Effects of Electric Current,Practice,Easy,,
Science & Technology Part I,4,State Ohm’s law.,1,V ∝ I.,V = IR at constant temperature.,SSC Science;Effects of Electric Current,Practice,Easy,,
Science & Technology Part I,4,What is resistance?,1,It is measured in ohms.,Resistance opposes current.,SSC Science;Effects of Electric Current,Practice,Easy,,
Science & Technology Part I,4,What is the SI unit of resistance?,1,Resistance unit.,SI unit is ohm.,SSC Science;Effects of Electric Current,Practice,Easy,,
Science & Technology Part I,4,What is electrical power?,1,P = VI.,Power P = VI.,SSC Science;Effects of Electric Current,Practice,Easy,,
Science & Technology Part I,4,What is the SI unit of electrical power?,1,Power unit.,SI unit is watt.,SSC Science;Effects of Electric Current,Practice,Easy,,
Science & Technology Part I,4,Write one formula for electrical energy.,1,Power × time.,Electrical energy E = Pt.,SSC Science;Effects of Electric Current,Practice,Easy,,
Science & Technology Part I,4,Why are household appliances connected in parallel?,1,Parallel branches.,Parallel connection gives independent operation.,SSC Science;Effects of Electric Current,Practice,Easy,,
Science & Technology Part I,4,What is a fuse?,1,It protects circuits.,Fuse melts during overcurrent.,SSC Science;Effects of Electric Current,Practice,Easy,,
Science & Technology Part I,4,What is the heating effect of current?,1,Use H = I²Rt.,Current through resistance produces heat.,SSC Science;Effects of Electric Current,Practice,Medium,,
Science & Technology Part I,4,State Joule’s law of heating.,1,H = I²Rt.,H = I²Rt.,SSC Science;Effects of Electric Current,Practice,Medium,,
Science & Technology Part I,4,Why is tungsten used in incandescent lamp filaments?,1,Filament must withstand high temperature.,Tungsten has a very high melting point.,SSC Science;Effects of Electric Current,Practice,Medium,,
Science & Technology Part I,4,What is a short circuit?,1,It can cause overheating.,A short circuit produces excessive current.,SSC Science;Effects of Electric Current,Practice,Medium,,
Science & Technology Part I,4,What is an electric motor?,1,It uses magnetic effect of current.,Motor converts electrical to mechanical energy.,SSC Science;Effects of Electric Current,Practice,Medium,,
Science & Technology Part I,4,What is an electric generator?,1,Electromagnetic induction.,Generator converts mechanical to electrical energy.,SSC Science;Effects of Electric Current,Practice,Medium,,
Science & Technology Part I,4,What is electromagnetic induction?,1,Change in magnetic field linkage.,Changing magnetic flux induces emf/current.,SSC Science;Effects of Electric Current,Practice,Hard,,
Science & Technology Part I,4,What is the function of a galvanometer?,1,Sensitive current detector.,It detects small currents.,SSC Science;Effects of Electric Current,Practice,Hard,,
Science & Technology Part I,4,What happens to resistance when length of a uniform wire increases?,1,R ∝ L.,Resistance is directly proportional to length.,SSC Science;Effects of Electric Current,Practice,Hard,,
Science & Technology Part I,4,What happens to resistance when cross-sectional area increases?,1,R ∝ 1/A.,Resistance is inversely proportional to area.,SSC Science;Effects of Electric Current,Practice,Hard,,
