subject_name,chapter_number,question_text,marks,hint,easy_answer,keywords,question_type,difficulty,pyq_year,question_paper_id
Science & Technology Part I,2,State the modern periodic law.,1,Atomic number is the key.,Properties repeat periodically with atomic number.,SSC Science;Periodic Classification of Elements,Practice,Easy,,
Science & Technology Part I,2,How many periods are there in the modern periodic table?,1,Count horizontal rows.,There are 7 periods.,SSC Science;Periodic Classification of Elements,Practice,Easy,,
Science & Technology Part I,2,How many groups are there in the modern periodic table?,1,Count vertical columns.,There are 18 groups.,SSC Science;Periodic Classification of Elements,Practice,Easy,,
Science & Technology Part I,2,What is a group in the periodic table?,1,Vertical = group.,A group is a vertical column.,SSC Science;Periodic Classification of Elements,Practice,Easy,,
Science & Technology Part I,2,What is a period?,1,Horizontal = period.,A period is a horizontal row.,SSC Science;Periodic Classification of Elements,Practice,Easy,,
Science & Technology Part I,2,What are valence electrons?,1,They take part in bonding.,Outer-shell electrons are valence electrons.,SSC Science;Periodic Classification of Elements,Practice,Easy,,
Science & Technology Part I,2,Why do elements of the same group show similar chemical properties?,1,Focus on outer shell.,Similar valence electrons give similar properties.,SSC Science;Periodic Classification of Elements,Practice,Easy,,
Science & Technology Part I,2,What is periodicity?,1,Properties repeat.,Periodic repetition of properties is periodicity.,SSC Science;Periodic Classification of Elements,Practice,Easy,,
Science & Technology Part I,2,Where are metals generally found in the periodic table?,1,Non-metals are mainly on the right.,Metals occupy left and centre regions.,SSC Science;Periodic Classification of Elements,Practice,Easy,,
Science & Technology Part I,2,Where are non-metals generally found?,1,Look at the upper-right region.,Most non-metals are on the right.,SSC Science;Periodic Classification of Elements,Practice,Easy,,
Science & Technology Part I,2,What is the general valency of noble gases?,1,Their outermost shells are complete.,Noble gases generally have valency zero.,SSC Science;Periodic Classification of Elements,Practice,Medium,,
Science & Technology Part I,2,Why is sodium highly reactive?,1,Group 1 metals lose one electron.,Sodium readily loses its one valence electron.,SSC Science;Periodic Classification of Elements,Practice,Medium,,
Science & Technology Part I,2,What happens to atomic size across a period from left to right?,1,Nuclear charge increases while shells remain same.,Atomic size generally decreases.,SSC Science;Periodic Classification of Elements,Practice,Medium,,
Science & Technology Part I,2,What happens to atomic size down a group?,1,A new electron shell is added.,Atomic size increases down a group.,SSC Science;Periodic Classification of Elements,Practice,Medium,,
Science & Technology Part I,2,What is ionization energy?,1,It is energy for electron removal.,Ionization energy is energy required to remove an electron.,SSC Science;Periodic Classification of Elements,Practice,Medium,,
Science & Technology Part I,2,What is electronegativity?,1,Think of shared electrons.,It is attraction for shared electrons.,SSC Science;Periodic Classification of Elements,Practice,Medium,,
Science & Technology Part I,2,What is a period number related to?,1,"For main-group elements, period indicates shells.",Period number corresponds to occupied shells.,SSC Science;Periodic Classification of Elements,Practice,Hard,,
Science & Technology Part I,2,Why is fluorine highly electronegative?,1,Fluorine is near the top-right.,Fluorine has very high attraction for electrons.,SSC Science;Periodic Classification of Elements,Practice,Hard,,
Science & Technology Part I,2,Name the element with atomic number 11.,1,Atomic number 11.,Z = 11 is sodium.,SSC Science;Periodic Classification of Elements,Practice,Hard,,
Science & Technology Part I,2,Write the electronic configuration of magnesium (Z=12).,1,Distribute 12 electrons by shells.,"Mg: 2,8,2.",SSC Science;Periodic Classification of Elements,Practice,Hard,,
