subject_name,chapter_number,question_text,marks,hint,easy_answer,keywords,question_type,difficulty,pyq_year,question_paper_id
Science & Technology Part I,5,What is heat?,1,Heat is energy in transfer.,Heat flows from hot to cold.,SSC Science;Heat,Practice,Easy,,
Science & Technology Part I,5,What is temperature?,1,It is related to average kinetic energy.,Temperature indicates hotness or coldness.,SSC Science;Heat,Practice,Easy,,
Science & Technology Part I,5,What is the SI unit of temperature?,1,SI temperature scale.,SI unit is kelvin.,SSC Science;Heat,Practice,Easy,,
Science & Technology Part I,5,What is specific heat capacity?,1,Q = mcΔT.,It is heat per unit mass per degree rise.,SSC Science;Heat,Practice,Easy,,
Science & Technology Part I,5,What is the SI unit of specific heat capacity?,1,Use SI heat and mass units.,J kg⁻¹ K⁻¹.,SSC Science;Heat,Practice,Easy,,
Science & Technology Part I,5,What is latent heat?,1,Temperature remains constant.,Latent heat changes state at constant temperature.,SSC Science;Heat,Practice,Easy,,
Science & Technology Part I,5,Define melting point.,1,Solid → liquid.,Melting point is the solid-to-liquid transition temperature.,SSC Science;Heat,Practice,Easy,,
Science & Technology Part I,5,Define boiling point.,1,Liquid → gas.,Boiling point is the liquid-to-vapour transition temperature.,SSC Science;Heat,Practice,Easy,,
Science & Technology Part I,5,What is conduction?,1,Common in solids.,Heat passes through the material without bulk flow.,SSC Science;Heat,Practice,Easy,,
Science & Technology Part I,5,What is convection?,1,Occurs in liquids and gases.,Heat is carried by moving fluid.,SSC Science;Heat,Practice,Easy,,
Science & Technology Part I,5,What is radiation?,1,Sun heats Earth by radiation.,Radiation can occur through vacuum.,SSC Science;Heat,Practice,Medium,,
Science & Technology Part I,5,Why are cooking vessels often made of metals?,1,Heat reaches food efficiently.,Metals conduct heat well.,SSC Science;Heat,Practice,Medium,,
Science & Technology Part I,5,Why are handles of cooking utensils made of insulating materials?,1,Insulators are poor conductors.,Insulators reduce heat conduction.,SSC Science;Heat,Practice,Medium,,
Science & Technology Part I,5,Why does a metal spoon feel colder than a wooden spoon in the same room?,1,Both are at same room temperature.,Metal has higher thermal conductivity.,SSC Science;Heat,Practice,Medium,,
Science & Technology Part I,5,What is anomalous expansion of water?,1,Water behaves unusually between 0°C and 4°C.,Water is densest at 4°C.,SSC Science;Heat,Practice,Medium,,
Science & Technology Part I,5,Why are gaps left between railway tracks?,1,Metals expand on heating.,Gaps prevent buckling due to thermal expansion.,SSC Science;Heat,Practice,Medium,,
Science & Technology Part I,5,What is thermal expansion?,1,Heating generally increases size.,Thermal expansion is increase in size on heating.,SSC Science;Heat,Practice,Hard,,
Science & Technology Part I,5,Why do woollen clothes keep us warm?,1,Air reduces heat loss.,Trapped air acts as an insulator.,SSC Science;Heat,Practice,Hard,,
Science & Technology Part I,5,What is calorimetry?,1,Calorimeter is used.,Calorimetry measures heat exchange.,SSC Science;Heat,Practice,Hard,,
Science & Technology Part I,5,Write the heat equation for temperature change.,1,"m = mass, c = specific heat, ΔT = temperature change.",Q = mcΔT.,SSC Science;Heat,Practice,Hard,,
