subject_name,chapter_number,question_text,marks,hint,easy_answer,keywords,question_type,difficulty,pyq_year,question_paper_id
Science & Technology Part I,8,What is metallurgy?,1,It deals with metal extraction.,Metallurgy is extraction and purification of metals.,SSC Science;Metallurgy,Practice,Easy,,
Science & Technology Part I,8,What is an ore?,1,Economic extraction is important.,An ore is an economically useful mineral source.,SSC Science;Metallurgy,Practice,Easy,,
Science & Technology Part I,8,What is gangue?,1,It is removed during concentration.,Gangue is unwanted impurity.,SSC Science;Metallurgy,Practice,Easy,,
Science & Technology Part I,8,What is concentration of ore?,1,Ore dressing.,It enriches the useful mineral.,SSC Science;Metallurgy,Practice,Easy,,
Science & Technology Part I,8,What is roasting?,1,Sulphide + oxygen.,Roasting is heating sulphide ore in excess air.,SSC Science;Metallurgy,Practice,Easy,,
Science & Technology Part I,8,What is calcination?,1,Often used for carbonate ores.,Calcination occurs with limited/no air.,SSC Science;Metallurgy,Practice,Easy,,
Science & Technology Part I,8,Why are ores concentrated before extraction?,1,It improves efficiency.,Concentration reduces impurities.,SSC Science;Metallurgy,Practice,Easy,,
Science & Technology Part I,8,What is reduction in metallurgy?,1,Think metal extraction.,Reduction produces free metal.,SSC Science;Metallurgy,Practice,Easy,,
Science & Technology Part I,8,What is an alloy?,1,"Examples: brass, steel.",An alloy is a useful metallic mixture.,SSC Science;Metallurgy,Practice,Easy,,
Science & Technology Part I,8,Why is steel stronger than pure iron?,1,Carbon is added to iron.,Alloying increases strength and useful properties.,SSC Science;Metallurgy,Practice,Easy,,
Science & Technology Part I,8,What is galvanization?,1,Zinc acts as protective coating.,Galvanization is zinc coating.,SSC Science;Metallurgy,Practice,Medium,,
Science & Technology Part I,8,Why is aluminium extracted by electrolysis rather than simple heating with carbon?,1,It lies high in reactivity series.,Electrolysis is needed for highly reactive aluminium.,SSC Science;Metallurgy,Practice,Medium,,
Science & Technology Part I,8,What is electrolytic refining?,1,Impure metal is anode.,Electrolysis purifies the metal.,SSC Science;Metallurgy,Practice,Medium,,
Science & Technology Part I,8,"In electrolytic refining of copper, what is used as anode?",1,The impure metal is connected to positive terminal.,Impure copper is the anode.,SSC Science;Metallurgy,Practice,Medium,,
Science & Technology Part I,8,"In electrolytic refining of copper, what is used as cathode?",1,Pure metal is deposited on cathode.,Pure copper sheet is the cathode.,SSC Science;Metallurgy,Practice,Medium,,
Science & Technology Part I,8,What is flux in metallurgy?,1,It helps remove impurities.,Flux forms slag with gangue.,SSC Science;Metallurgy,Practice,Medium,,
Science & Technology Part I,8,What is slag?,1,It separates from molten metal.,Slag is flux + gangue product.,SSC Science;Metallurgy,Practice,Hard,,
Science & Technology Part I,8,Name one highly reactive metal extracted by electrolysis.,1,Very reactive metals need electrolysis.,Sodium is obtained by electrolysis.,SSC Science;Metallurgy,Practice,Hard,,
Science & Technology Part I,8,Why is gold found in native state sometimes?,1,Noble metals are less reactive.,Gold is highly unreactive.,SSC Science;Metallurgy,Practice,Hard,,
Science & Technology Part I,8,What is an amalgam?,1,Mercury is essential.,An amalgam contains mercury.,SSC Science;Metallurgy,Practice,Hard,,
